IDNA,IDNB,NEFNNRA,NEFNNRB,NEFNRA,NEFNRB,NEFPRA,NEFPRB,NEFPPRA,NEFPPRB,NEFNENRA,NEFNENRB,NEFNCRA,NEFNCRB,NEFPCRA,NEFPCRB,NEFERA,NEFERB,NEFECRA,NEFECRB,NITDRA,NITDRB,NITFRA,NITFRB,NITARA,NITARB,NITMRA,NITMRB,NITCDFRA,NITCDFRB,NITCFARA,NITCFARB,NITERA,NITERB,NITAIRA,NITAIRB,NITCFAIRA,NITCFAIRB,NITEIRA,NITEIRB,NPDRRA,NPDRRB,NPDDRA,NPDDRB,NAMBRA,NAMBRB,NAFRA,NAFRB,NIPPRA,NIPPRB,NIPDRA,NIPDRB,NIDGRA,NIDGRB,NIDPRA,NIDPRB,NIDDRA,NIDDRB
240603_04_AA404_AB.XLSX,240603_04_AA404_LM.XLSX,0,0,0,0,0.2,0.2,0.2,0,0.6,0.8,0,0,0.4,0.2,0.6,0.2,0.4,0.2,0,0,0.3,0.2,0.7,0.8,0,0,0.3,0.2,1,1,0.7,0.8,0.7,0.8,1,1,0.7,0.8,0,0,0,0,0.1,0.1,0.7,0.1,0,0,0,0.1,0,0,0,0,0.2,0.1
240603_06_AA411_AB.XLSX,240603_06_AA411_LM.XLSX,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.1,0,0.1,0.1,0.2,0,0,0,0.6,0.7,0.2,0.3,0,0,0,0,0,0
240604_04_AB403_KL.XLSX,240604_04_AB403_LM.XLSX,0,0,0.2,0.1,0.4,0.1,0,0,0.5,0.8,0.2,0.1,0.4,0.1,0.1,0,0.1,0,0.1,0,0.1,0.1,0.8,0.9,0,0,0.2,0.1,0.9,1,0.7,0.9,0.8,0.9,0.9,1,0.7,0.9,0,0,0,0,0,0,0.6,0,0.4,0.3,0,0,0,0,0,0,0.1,0
240604_05_AB408_KL.XLSX,240604_05_AB408_LM.XLSX,0,0,0,0,0.2,0.1,0,0,0.8,0.9,0,0,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0,0.3,0,0.6,1,0,0,0.4,0,0.9,1,0.5,1,0.6,1,0.9,1,0.5,1,0,0,0.2,0.4,0.3,0.2,0.6,0,0,0.1,0.6,0.4,0,0,0.1,0,0.1,0
240605_03_BA308_JF.XLSX,240605_03_BA308_SC.XLSX,0.1,0.2,0.2,0,0.3,0.1,0.1,0.1,0.3,0.6,0.3,0.2,0.4,0.2,0.1,-0.1,0.1,0,0,0,0.2,0,0.8,1,0,0,0.2,0,1,1,0.8,1,0.8,1,1,1,0.8,1,0,0,0.2,0.2,0.1,0,0.2,0,0.4,0.6,0.3,0.2,0,0,0,0,0,0
240605_07_BA316_JF.XLSX,240605_07_BA316_SC.XLSX,0,0,0,0,0.5,0.3,0,0,0.5,0.7,0,0,0.5,0.3,0.5,0.3,0.5,0.3,0.1,0.3,0.4,0.7,0.5,0,0,0,0.5,1,0.9,0.7,0.4,-0.3,0.5,0,0.9,0.7,0.4,-0.3,0,0,0.1,0.3,0,0,0.3,0.2,0.8,0.6,0.1,0.1,0.1,0,0,0,0.1,0
240607_02_BB206_SC.XLSX,240607_02_BB206_SZ.XLSX,0,0,0.2,0.1,0.1,0.5,0,0,0.7,0.4,0.2,0.1,0.1,0.5,-0.1,0.4,-0.1,0.4,0,0,0,0.2,1,0.7,0,0.1,0,0.2,1,0.9,1,0.777777777777778,1,0.8,1,1,1,0.8,0,0,0.1,0.1,0.1,0.1,0.8,0.9,0.3,0.3,0.3,0.5,0,0,0,0.1,0,0
240607_03_BB212_SC.XLSX,240607_03_BB212_SZ.XLSX,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.1,0.6,0.6,0.4,0.3,0,0,0.6,0.7,1,0.9,0.4,0.2,0.4,0.3,1,0.9,0.4,0.2,0,0,0,0,0.4,0.6,0.3,0.3,0.2,0.4,0,0,0,0,0,0.1,0,0
240607_04_BB213_SC.XLSX,240607_04_BB213_SZ.XLSX,0,0,0.1,0,0.3,0.2,0,0,0.6,0.8,0.1,0,0.3,0.2,0.2,0.2,0.2,0.2,0,0,0,0.1,1,0.9,0,0,0,0.1,1,1,1,0.9,1,0.9,1,1,1,0.9,0,0.2,0.1,0.1,0.1,0,0.5,0.6,0.1,0.3,0,0.1,0,0,0,0,0,0
240607_05_BB219_SC.XLSX,240607_05_BB219_SZ.XLSX,0,0,0,0,0.1,0.3,0,0,0.9,0.7,0,0,0.1,0.3,0.1,0.3,0.1,0.3,0.1,0.1,0.6,0.4,0.3,0.3,0,0.2,0.7,0.5,0.9,0.7,0.2,0.25,0.3,0.5,0.9,0.9,0.2,0.4,0,0,0.3,0.4,0.4,0.5,0.3,0.3,0.3,0.5,0.1,0.1,0,0,0,0,0,0
240610_02_AA302_AB.XLSX,240610_02_AA302_PVM.XLSX,0,0.1,0.3,0.3,0.3,0.2,0.1,0.1,0.5,0.3,0.3,0.4,0.3,0.3,0,-0.1,-0.1,-0.1,0,0,0,0.2,1,0.8,0,0,0,0.2,1,1,1,0.8,1,0.8,1,1,1,0.8,0.1,0,0,0,0.3,0.4,0.2,0,0.6,0.6,0.1,0.2,0,0,0,0,0,0.1
240610_06_AA306_LM.XLSX,240610_06_AA306_PVM.XLSX,0,0,0.1,0.1,0.2,0.4,0,0.1,0.7,0.4,0.1,0.1,0.2,0.5,0.1,0.5,0.1,0.4,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.1,0.1,0,0,0.1,0.2,0.2,0.2,0.1,0.1,0,0,0,0,0,0
240610_08_AA403_AB.XLSX,240610_08_AA403_LM.XLSX,0,0,0.1,0,0.8,0.8,0.3,0,0.1,0.2,0.1,0,0.9,0.8,1,0.8,0.7,0.8,0,0,0,0.1,1,0.9,0,0,0,0.1,1,1,1,0.9,1,0.9,1,1,1,0.9,0,0,0,0.1,0.2,0.2,0,0,0.8,0.8,0.1,0.1,0,0,0,0,0,0
