"ID","bnpos_mean","bapos_mean","bnneut_mean","baneut_mean","bnneg_mean","baneg_mean","bsync_mean","bsyncpos_mean","bsyncneut_mean","bsyncneg_mean","bnpos_mean_Avioncito","bnpos_mean_Paloma","bnpos_mean_Piedra_papel_tijera","bapos_mean_Avioncito","bapos_mean_Paloma","bapos_mean_Piedra_papel_tijera","bnneut_mean_Avioncito","bnneut_mean_Paloma","bnneut_mean_Piedra_papel_tijera","baneut_mean_Avioncito","baneut_mean_Paloma","baneut_mean_Piedra_papel_tijera","bnneg_mean_Avioncito","bnneg_mean_Paloma","bnneg_mean_Piedra_papel_tijera","baneg_mean_Avioncito","baneg_mean_Paloma","baneg_mean_Piedra_papel_tijera","bsync_mean_Avioncito","bsync_mean_Paloma","bsync_mean_Piedra_papel_tijera","bsyncpos_mean_Avioncito","bsyncpos_mean_Paloma","bsyncpos_mean_Piedra_papel_tijera","bsyncneut_mean_Avioncito","bsyncneut_mean_Paloma","bsyncneut_mean_Piedra_papel_tijera","bsyncneg_mean_Avioncito","bsyncneg_mean_Paloma","bsyncneg_mean_Piedra_papel_tijera"
"C3D13",0.1391429947039,0.0164158686730506,0.398651901781416,0.134974920200638,0.462205103514685,0.848609211126311,0.455861070911722,0.00385914134105162,0.0506512301013025,0.401350699469368,0.140625,0.12400354295837,0.275862068965517,0.0090702947845805,0.0217391304347826,0.0173913043478261,0.215144230769231,0.557130203720106,0.172413793103448,0.114512471655329,0.147993311036789,0.156521739130435,0.644230769230769,0.318866253321523,0.551724137931034,0.876417233560091,0.830267558528428,0.826086956521739,0.593486127864898,0.352524357838795,0.478260869565217,0.00361881785283474,0.00354295837023915,0.00869565217391304,0.0193003618817853,0.0770593445527015,0.0173913043478261,0.570566948130277,0.271922054915855,0.452173913043478
"C3E01",0.1590174531351,0.636309523809524,0.143503555268261,0.179166666666667,0.697478991596639,0.18452380952381,0.252754820936639,0.0950413223140496,0.0296143250688705,0.128099173553719,0.27906976744186,0.070362473347548,0.335195530726257,0.630390143737166,0.658906882591093,0.541463414634146,0.153488372093023,0.0906183368869936,0.396648044692737,0.2217659137577,0.153846153846154,0.2,0.567441860465116,0.839019189765458,0.268156424581006,0.147843942505133,0.187246963562753,0.258536585365854,0.275064267352185,0.224466891133558,0.348837209302326,0.169665809768638,0.0437710437710438,0.191860465116279,0.0231362467866324,0.021324354657688,0.0872093023255814,0.0822622107969152,0.159371492704826,0.0697674418604651
"C3E03",0.140731556106634,0.0795847750865052,0.244265344079355,0.0640138408304498,0.615003099814011,0.856401384083045,0.557223264540338,0.0143839899937461,0.0143839899937461,0.528455284552846,0.128682170542636,0.123986095017381,0.352380952380952,0.0387374461979914,0.107411385606874,0.10377358490566,0.258914728682171,0.229432213209733,0.276190476190476,0.0373027259684362,0.0408163265306122,0.443396226415094,0.612403100775194,0.646581691772885,0.371428571428571,0.923959827833572,0.851772287862513,0.452830188679245,0.59717868338558,0.55659276546091,0.317307692307692,0.0188087774294671,0.0116686114352392,0.00961538461538462,0.00783699059561128,0.00700116686114352,0.115384615384615,0.570532915360502,0.537922987164527,0.192307692307692
"C3E04",0.0247104247104247,0.0199704142011834,0.421621621621622,0.222633136094675,0.553667953667954,0.757396449704142,0.540944881889764,0.00078740157480315,0.104724409448819,0.435433070866142,0.0345423143350604,0.00978792822185971,0.058252427184466,0.0343053173241852,0.0045662100456621,0.0357142857142857,0.386873920552677,0.442088091353997,0.495145631067961,0.234991423670669,0.208523592085236,0.241071428571429,0.578583765112263,0.548123980424144,0.446601941747573,0.730703259005146,0.786910197869102,0.723214285714286,0.564748201438849,0.540098199672668,0.41747572815534,0.00179856115107914,0,0,0.107913669064748,0.0998363338788871,0.116504854368932,0.455035971223022,0.440261865793781,0.300970873786408
"C3E05",0.0928129462160876,0.739387956564659,0.519276534983341,0.110069101678184,0.387910518800571,0.150542941757157,0.198433420365535,0.0684073107049608,0.0590078328981723,0.0710182767624021,0.0701107011070111,0.0988002822865208,0.119718309859155,0.749482401656315,0.750175438596491,0.567796610169492,0.581180811808118,0.481298517995766,0.661971830985915,0.0848861283643892,0.108771929824561,0.228813559322034,0.348708487084871,0.419901199717714,0.21830985915493,0.165631469979296,0.141052631578947,0.203389830508475,0.171247357293869,0.20166163141994,0.271186440677966,0.0591966173361522,0.0709969788519638,0.076271186440678,0.0549682875264271,0.0513595166163142,0.161016949152542,0.0570824524312896,0.0793051359516616,0.0338983050847458
"C3E06",0.090702947845805,0.104615384615385,0.227891156462585,0.489230769230769,0.68140589569161,0.406153846153846,0.4211123723042,0.00794551645856981,0.139614074914869,0.273552780930761,0.0563564875491481,NA,0.310924369747899,0.0974178403755869,NA,0.154471544715447,0.242463958060288,NA,0.134453781512605,0.525821596244131,NA,0.235772357723577,0.701179554390564,NA,0.554621848739496,0.376760563380282,NA,0.609756097560976,0.419397116644823,NA,0.432203389830508,0.00262123197903014,NA,0.0423728813559322,0.153342070773263,NA,0.0508474576271186,0.26343381389253,NA,0.338983050847458
"C3E08",0.114457831325301,0.064619778650482,0.227624784853701,0.158514816137094,0.657917383820998,0.776865405212424,0.571115013169447,0.0122914837576822,0.0364354697102722,0.522388059701492,0.0872894333843798,0.112162162162162,0.225130890052356,0.0431861804222649,0.0482315112540193,0.299019607843137,0.263399693721286,0.200675675675676,0.31413612565445,0.191938579654511,0.144051446945338,0.0980392156862745,0.649310872894334,0.687162162162162,0.460732984293194,0.764875239923225,0.807717041800643,0.602941176470588,0.545878693623639,0.605263157894737,0.397905759162304,0.00777604976671851,0.00692520775623269,0.0680628272251309,0.057542768273717,0.0263157894736842,0.0418848167539267,0.480559875583204,0.57202216066482,0.287958115183246
"C3E10",0.13781163434903,0.0528401585204756,0.306786703601108,0.138705416116248,0.555401662049862,0.808454425363276,0.507430997876858,0.013446567586695,0.0389242745930644,0.455060155697098,0.0418502202643172,0.128700128700129,0.375586854460094,0.0488798370672098,0.0305250305250305,0.151960784313725,0.341409691629956,0.297297297297297,0.267605633802817,0.144602851323829,0.123321123321123,0.186274509803922,0.616740088105727,0.574002574002574,0.356807511737089,0.806517311608961,0.846153846153846,0.661764705882353,0.531390134529148,0.538663171690695,0.338235294117647,0,0.00786369593709043,0.0637254901960784,0.0381165919282511,0.0393184796854522,0.0392156862745098,0.493273542600897,0.491480996068152,0.235294117647059
"C3F02",0.0663430420711974,0.0600306278713629,0.233333333333333,0.200918836140888,0.700323624595469,0.739050535987749,0.574766355140187,0.00233644859813084,0.0490654205607477,0.523364485981308,0.065512978986403,0.0660247592847318,0.08,0.134433962264151,0.0270154373927959,0.223529411764706,0.241038318912237,0.219165520403485,0.48,0.123820754716981,0.23156089193825,0.129411764705882,0.69344870210136,0.714809720311784,0.44,0.741745283018868,0.741423670668954,0.647058823529412,0.543837357052097,0.595014111006585,0.349397590361446,0.00508259212198221,0.000470366886171214,0.0240963855421687,0.0254129606099111,0.0573847601128881,0.0602409638554217,0.513341804320203,0.537158984007526,0.265060240963855
"C3F08",0.120704845814978,0.432190760059613,0.229955947136564,0.34575260804769,0.649339207048458,0.222056631892697,0.270833333333333,0.0570652173913043,0.072463768115942,0.141304347826087,0.0805604203152364,0.168168168168168,0.151515151515152,0.502347417840376,0.272040302267003,0.493464052287582,0.224168126094571,0.231231231231231,0.242424242424242,0.309859154929577,0.350125944584383,0.415032679738562,0.695271453590193,0.600600600600601,0.606060606060606,0.187793427230047,0.377833753148615,0.0915032679738562,0.217153284671533,0.4,0.216450216450216,0.0346715328467153,0.0707692307692308,0.0909090909090909,0.0693430656934307,0.0707692307692308,0.0822510822510823,0.113138686131387,0.258461538461538,0.0432900432900433
"C3F09",0.155328798185941,0.0346695557963164,0.103174603174603,0.392199349945829,0.741496598639456,0.573131094257855,0.510899182561308,0.00408719346049046,0.055858310626703,0.450953678474114,0.160493827160494,0.152255639097744,0.153846153846154,0.0225352112676056,0.0180360721442886,0.217391304347826,0.0462962962962963,0.118421052631579,0.5,0.214084507042254,0.521042084168337,0.376811594202899,0.79320987654321,0.729323308270677,0.346153846153846,0.763380281690141,0.460921843687375,0.405797101449275,0.640287769784173,0.426914153132251,0.52,0.00359712230215827,0,0.08,0.00359712230215827,0.0835266821345708,0.16,0.633093525179856,0.34338747099768,0.28
"C3F12",0.0477544059124503,0.0754716981132075,0.443433769187038,0.615094339622641,0.508811824900512,0.309433962264151,0.419596541786743,0.00518731988472622,0.272046109510086,0.142363112391931,0.0341246290801187,0.0540229885057471,0.0651162790697674,0.0606936416184971,0.0636461704422869,0.165254237288136,0.489614243323442,0.360919540229885,0.632558139534884,0.63728323699422,0.61596548004315,0.546610169491525,0.476261127596439,0.585057471264368,0.302325581395349,0.302023121387283,0.320388349514563,0.288135593220339,0.449253731343284,0.383078730904818,0.47196261682243,0.00746268656716418,0.00352526439482961,0.00467289719626168,0.313432835820896,0.213866039952996,0.373831775700935,0.128358208955224,0.165687426556992,0.0934579439252336
"C3F19",0.0684014869888476,0.244725738396624,0.409665427509294,0.55455093429777,0.521933085501859,0.200723327305606,0.343585896474119,0.0172543135783946,0.234808702175544,0.09152288072018,0.020260492040521,0.112040133779264,0.196428571428571,0.292479108635098,0.194350282485876,0.428571428571429,0.363241678726483,0.473244147157191,0.303571428571429,0.512534818941504,0.614689265536723,0.142857142857143,0.616497829232996,0.414715719063545,0.5,0.194986072423398,0.190960451977401,0.428571428571429,0.307580174927114,0.382402707275804,0.375,0.0087463556851312,0.0236886632825719,0.0535714285714286,0.19533527696793,0.299492385786802,0.0357142857142857,0.103498542274052,0.0592216582064298,0.285714285714286
"C3F20",0.0334672021419009,0.156769596199525,0.164658634538153,0.41686460807601,0.801874163319946,0.426365795724466,0.426611796982167,0.00411522633744856,0.0713305898491084,0.35116598079561,0.0297951582867784,0.0810810810810811,0.0346820809248555,0.182410423452769,0.133333333333333,0.0765027322404372,0.132216014897579,0.189189189189189,0.260115606936416,0.439739413680782,0.644444444444444,0.284153005464481,0.837988826815642,0.72972972972973,0.705202312138728,0.37785016286645,0.222222222222222,0.639344262295082,0.377394636015326,0.444444444444444,0.573099415204678,0.00574712643678161,0,0,0.0555555555555556,0.166666666666667,0.0994152046783626,0.316091954022989,0.277777777777778,0.473684210526316
"C3F21",0.0636394908840729,0.114946168461051,0.243894048847609,0.588347055098163,0.692466460268318,0.296706776440785,0.362962962962963,0.00740740740740741,0.143562610229277,0.211992945326279,0.0616784630940344,0.0649702219815918,0.0563380281690141,0.108228980322004,0.100660904931368,0.602739726027397,0.217391304347826,0.249052517596102,0.47887323943662,0.610912343470483,0.591764107778343,0.150684931506849,0.720930232558139,0.685977260422306,0.464788732394366,0.280858676207513,0.30757498729029,0.246575342465753,0.337090163934426,0.380234505862647,0.279411764705882,0.00409836065573771,0.00781686208821887,0.0441176470588235,0.125,0.155220547180346,0.102941176470588,0.207991803278689,0.217197096594082,0.132352941176471
"C3G01",0.088695652173913,0.0524193548387097,0.451304347826087,0.348387096774194,0.46,0.599193548387097,0.403846153846154,0.00174825174825175,0.151223776223776,0.250874125874126,0.104166666666667,0.0912106135986733,0.0429447852760736,0.0100502512562814,0.016566265060241,0.280898876404494,0.528645833333333,0.45771144278607,0.245398773006135,0.396984924623116,0.265060240963855,0.550561797752809,0.3671875,0.451077943615257,0.711656441717791,0.592964824120603,0.718373493975904,0.168539325842697,0.395833333333333,0.440536013400335,0.288343558282209,0,0,0.0122699386503067,0.1875,0.128978224455611,0.147239263803681,0.208333333333333,0.311557788944724,0.128834355828221
"C3G02",0.0294605809128631,0.0419693301049233,0.602489626556017,0.861581920903955,0.36804979253112,0.0964487489911219,0.565436241610738,0.00293624161073826,0.524328859060403,0.0381711409395973,0.0225563909774436,0.0233333333333333,0.13013698630137,0.0266789328426863,0.0283630470016207,0.254777070063694,0.527255639097744,0.675,0.554794520547945,0.875804967801288,0.880064829821718,0.617834394904459,0.450187969924812,0.301666666666667,0.315068493150685,0.0975160993560258,0.0915721231766613,0.127388535031847,0.513666352497644,0.630730050933786,0.413793103448276,0.00188501413760603,0.000848896434634975,0.0275862068965517,0.466540999057493,0.597623089983022,0.351724137931034,0.0452403393025448,0.032258064516129,0.0344827586206897
"C3G04",0.128731343283582,0.0551351351351351,0.0572139303482587,0.382162162162162,0.814054726368159,0.562702702702703,0.503136762860728,0.00941028858218319,0.0232120451693852,0.470514429109159,0.117913832199546,0.120503597122302,0.381818181818182,0.0123456790123457,0.0668716372021522,0.142857142857143,0.0294784580498866,0.0647482014388489,0.127272727272727,0.467078189300412,0.357417371252882,0.238095238095238,0.852607709750567,0.814748201438849,0.490909090909091,0.520576131687243,0.575710991544965,0.619047619047619,0.471655328798186,0.520036429872495,0.418181818181818,0,0.0100182149362477,0.0727272727272727,0.0158730158730159,0.0264116575591985,0.0181818181818182,0.45578231292517,0.483606557377049,0.327272727272727
"C3G05",0.122724207687121,0.00930487137383689,0.769386378961564,0.777230432402846,0.107889413351315,0.213464696223317,0.62120189061445,0.00270087778528022,0.594868332207968,0.0236326806212019,0.099290780141844,0.108247422680412,0.293706293706294,0.00898203592814371,0.00418848167539267,0.0343137254901961,0.854609929078014,0.75,0.538461538461538,0.785928143712575,0.754973821989529,0.852941176470588,0.0460992907801418,0.141752577319588,0.167832167832168,0.205089820359281,0.240837696335079,0.112745098039216,0.673758865248227,0.607235142118863,0.48951048951049,0.00177304964539007,0,0.020979020979021,0.663120567375887,0.571059431524548,0.454545454545455,0.00886524822695036,0.0361757105943152,0.013986013986014
"C3G08",0.0645161290322581,0.0284974093264249,0.160394265232975,0.265112262521589,0.775089605734767,0.706390328151986,0.586330935251799,0.00269784172661871,0.039568345323741,0.544064748201439,0.032590051457976,0.099437148217636,NA,0.0136518771331058,0.0437062937062937,NA,0.137221269296741,0.185741088180113,NA,0.308873720136519,0.22027972027972,NA,0.830188679245283,0.714821763602251,NA,0.677474402730375,0.736013986013986,NA,0.602409638554217,0.568738229755179,NA,0,0.00564971751412429,NA,0.0395869191049914,0.0395480225988701,NA,0.562822719449225,0.523540489642185,NA
"C3G10",0.067859346082665,0.230876216968011,0.191239975323874,0.496175243393602,0.740900678593461,0.272948539638387,0.313477289650037,0.0189873417721519,0.0915860014892033,0.202903946388682,0.0609375,0.0413176996091569,0.39766081871345,0.27580372250423,0.180026281208936,0.372093023255814,0.1796875,0.198771635957566,0.198830409356725,0.331641285956007,0.634691195795007,0.401162790697674,0.759375,0.759910664433277,0.403508771929825,0.392554991539763,0.185282522996058,0.226744186046512,0.369353410097431,0.271284271284271,0.286549707602339,0.016829052258636,0.00937950937950938,0.111111111111111,0.0566873339238264,0.119047619047619,0.0994152046783626,0.295837023914969,0.142857142857143,0.0760233918128655
"C3G11",0.0397350993377483,0.167209554831705,0.357615894039735,0.505971769815418,0.602649006622517,0.326818675352877,0.378197997775306,0.00889877641824249,0.173526140155729,0.195773081201335,0.0114285714285714,0.0451713395638629,0.0561797752808989,0.0114285714285714,0.213089802130898,0.134831460674157,0.422857142857143,0.339563862928349,0.359550561797753,0.611428571428571,0.515981735159817,0.224719101123595,0.565714285714286,0.615264797507788,0.584269662921348,0.377142857142857,0.270928462709285,0.640449438202247,0.48,0.333858267716535,0.49438202247191,0,0.0110236220472441,0.0112359550561798,0.262857142857143,0.162204724409449,0.0786516853932584,0.217142857142857,0.160629921259843,0.404494382022472
"C3H01",0.153269754768392,0.027084601339014,0.202316076294278,0.585818624467438,0.64441416893733,0.387096774193548,0.368941979522184,0.00716723549488055,0.117747440273038,0.244027303754266,0.107072691552063,0.146258503401361,0.538961038961039,0.0244618395303327,0.0184921763869132,0.161290322580645,0.18762278978389,0.218253968253968,0.116883116883117,0.625244618395303,0.568515884305358,0.561290322580645,0.705304518664047,0.635487528344671,0.344155844155844,0.350293542074364,0.412991939307729,0.27741935483871,0.367387033398821,0.381683731513083,0.233766233766234,0.00294695481335953,0.00284414106939704,0.0844155844155844,0.114931237721022,0.12514220705347,0.051948051948052,0.24950884086444,0.253697383390216,0.0974025974025974
"C3H03",0.0498188405797101,0.0153061224489796,0.115942028985507,0.603741496598639,0.834239130434783,0.380952380952381,0.39724680432645,0,0.0668633235004916,0.330383480825959,0.0436893203883495,0.0540098199672668,0.0493827160493827,0.00669642857142857,0.00772797527047913,0.123456790123457,0.0970873786407767,0.124386252045827,0.148148148148148,0.638392857142857,0.581143740340031,0.592592592592593,0.859223300970874,0.821603927986907,0.802469135802469,0.354910714285714,0.41112828438949,0.283950617283951,0.378048780487805,0.414448669201521,0.382716049382716,0,0,0,0.0609756097560976,0.0627376425855513,0.123456790123457,0.317073170731707,0.35171102661597,0.259259259259259
"C3H05",0.0398576512455516,0.00348918353105373,0.315302491103203,0.901605024424285,0.644839857651246,0.0949057920446616,0.346866096866097,0.000712250712250712,0.289173789173789,0.056980056980057,0.0232558139534884,0.0148401826484018,0.333333333333333,0.00224215246636771,0.00112485939257593,0.0306122448979592,0.251162790697674,0.349315068493151,0.292929292929293,0.881165919282511,0.929133858267717,0.744897959183674,0.725581395348837,0.635844748858447,0.373737373737374,0.116591928251121,0.0697412823397075,0.224489795918367,0.302325581395349,0.378995433789954,0.255102040816327,0,0,0.0102040816326531,0.225581395348837,0.329908675799087,0.204081632653061,0.0767441860465116,0.0490867579908676,0.0408163265306122
"C3H07",0.261849261849262,0.0570809248554913,0.131313131313131,0.10621387283237,0.606837606837607,0.836705202312139,0.512611879576892,0.0122050447518308,0.015459723352319,0.484947111472742,0.201694915254237,0.421951219512195,0.156794425087108,0.0171875,0.0090702947845805,0.211221122112211,0.13728813559322,0.129268292682927,0.121951219512195,0.1015625,0.0430839002267574,0.207920792079208,0.661016949152542,0.448780487804878,0.721254355400697,0.88125,0.947845804988662,0.580858085808581,0.602076124567474,0.395604395604396,0.480836236933798,0.00519031141868512,0,0.0418118466898955,0.0242214532871972,0.00274725274725275,0.0139372822299652,0.572664359861592,0.392857142857143,0.425087108013937
"C3H08",0.127364438839849,0.0233990147783251,0.324085750315258,0.0123152709359606,0.548549810844893,0.964285714285714,0.525916561314791,0.00126422250316056,0.00252844500632111,0.52212389380531,0.138297872340426,0.128971962616822,0.0857142857142857,0,0.0164233576642336,0.142857142857143,0.398936170212766,0.285981308411215,0.414285714285714,0,0.00182481751824818,0.128571428571429,0.462765957446808,0.585046728971963,0.5,1,0.981751824817518,0.728571428571429,0.462765957446808,0.570356472795497,0.357142857142857,0,0,0.0142857142857143,0,0,0.0285714285714286,0.462765957446808,0.570356472795497,0.314285714285714
"C3H13",0.0546712802768166,0.431167165455323,0.20322952710496,0.150064129970073,0.742099192618224,0.418768704574605,0.366551326412918,0.0230680507497117,0.0299884659746251,0.313494809688581,0.0326409495548961,0.0679334916864608,0.134615384615385,0.454803596781827,0.421768707482993,0.300469483568075,0.186449060336301,0.217102137767221,0.225961538461538,0.121628017037388,0.168367346938776,0.230046948356808,0.780909990108803,0.714964370546318,0.639423076923077,0.423568386180786,0.409863945578231,0.469483568075117,0.36646884272997,0.36437054631829,0.389423076923077,0.0153313550939664,0.0308788598574822,0.0192307692307692,0.019782393669634,0.0389548693586698,0.0384615384615385,0.33135509396637,0.294536817102138,0.331730769230769
"C3H14",0.174680462568472,0.103141361256545,0.304321363359708,0.674869109947644,0.52099817407182,0.221989528795812,0.342121397915389,0.0220723482526058,0.198038013488657,0.122011036174126,0.196280991735537,0.167155425219941,0.154411764705882,0.098471986417657,0.114961961115807,0.0217391304347826,0.272727272727273,0.3069403714565,0.397058823529412,0.730050933786078,0.662721893491124,0.543478260869565,0.53099173553719,0.525904203323558,0.448529411764706,0.171477079796265,0.222316145393068,0.434782608695652,0.367219917012448,0.323471400394477,0.392592592592593,0.0435684647302905,0.014792899408284,0,0.205394190871369,0.194280078895464,0.2,0.118257261410788,0.11439842209073,0.192592592592593
