Marca temporal,Código del niño o de la niña:,Escala de Habilidades Sociales [Es cooperativo/a],Escala de Habilidades Sociales [Juega con diferentes niñas/os],"Escala de Habilidades Sociales [Intenta comprender el comportamiento de otro niño/a (""¿por qué llorás?"")]",Escala de Habilidades Sociales [Sigue las instrucciones de los adultos],Escala de Habilidades Sociales [Hace amigos/as fácilmente],"Escala de Habilidades Sociales [Defiende los derechos de otras niñas/os (""¡esto es de ella/él!"")]",Escala de Habilidades Sociales [Arregla su desorden cuando se lo piden],Escala de Habilidades Sociales [Consuela a otros niños/as cuando están molestos/as],Escala de Habilidades Sociales [Sigue las reglas],Escala de Habilidades Sociales [Invita a otros niños/as a jugar],Escala de Habilidades Sociales [Busca consuelo de los adultos cuando se hace daño],Escala de Habilidades Sociales [Comparte juguetes u otras pertenencias],Escala de Habilidades Sociales [Es seguro/a en situaciones sociales],Escala de Habilidades Sociales [Negocia con sus compañeras/os cuando es apropiado],Escala de Habilidades Sociales [Intercambia juguetes u otros objetos],"Escala de Habilidades Sociales [Es sensible a los problemas de los adultos (""¿estás triste?"")]",Escala de Habilidades Sociales [Reacciona de forma apropiada cuando le corrigen],Escala de Habilidades Sociales [Demuestra afecto a otros niños/as],Escala de Habilidades Sociales [Es invitado/a por otras niñas/os para jugar],Escala de Problemas de Conducta [Actúa impulsivamente y sin pensar],Escala de Problemas de Conducta [Se apega a los padres o cuidadores],Escala de Problemas de Conducta [Se burla de otros niños/as],Escala de Problemas de Conducta [Es nerviosa/o o tensa/o],Escala de Problemas de Conducta [Hace alborotos que molestan a los demás],Escala de Problemas de Conducta [Parece triste o deprimido/a],Escala de Problemas de Conducta [Tiene arranques de enojo o berrinches],"Escala de Problemas de Conducta [Se apega a su maestra en las situaciones nuevas (ej. salidas, paseos)]","Escala de Problemas de Conducta [Es agresivo/a físicamente (pega, patea, empuja)]",Escala de Problemas de Conducta [Parece sentir que nadie lo/a quiere],Escala de Problemas de Conducta [Le quita cosas a otras niñas/os],Escala de Problemas de Conducta [Tiene dificultades para hacer amigos/as],Escala de Problemas de Conducta [Desobedece las reglas],Escala de Problemas de Conducta [Prefiere estar sola/o que con otros/as],"Escala de Problemas de Conducta [Es muy activo/a, no puede quedarse quieto/a]",Escala de Problemas de Conducta [Parece sentir que tiene que ser perfecto/a],Escala de Problemas de Conducta [Intenta vengarse de los/as demás],Escala de Problemas de Conducta [Parece sentirse culpable por cualquier cosa],Escala de Problemas de Conducta [Es inquieto/a],Escala de Problemas de Conducta [Dice sentirse enfermo/a cuando está molesto/a o asustado/a],Escala de Problemas de Conducta [Perturba las actividades que se están desarrollando],Escala de Problemas de Conducta [Es tímido/a],"Escala de Problemas de Conducta [Es provocado/a fácilmente, tiene poca paciencia]",Escala de Problemas de Conducta [Molesta a otros niños/as]
23/09/2023 12:21:14,N28,Frecuentemente,Algunas veces,Raramente,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Raramente,Raramente,Algunas veces,Raramente,Raramente,Algunas veces,Raramente,Algunas veces,Nunca,Algunas veces,Raramente,Nunca,Nunca,Raramente,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Raramente,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Raramente,Nunca
22/09/2023 15:25:03,N20,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Raramente,Frecuentemente,Algunas veces,Algunas veces,Raramente,Algunas veces,Raramente,Raramente,Raramente,Raramente,Raramente,Raramente,Nunca,Raramente,Raramente,Algunas veces,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Nunca
17/09/2023 22:24:18,N53,Algunas veces,Raramente,Algunas veces,Frecuentemente,Algunas veces,Raramente,Algunas veces,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Frecuentemente,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Algunas veces,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Algunas veces
17/09/2023 22:21:39,N52,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Raramente,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Raramente,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Algunas veces,Nunca,Nunca,Algunas veces,Nunca,Raramente,Nunca,Raramente,Raramente
17/09/2023 22:18:26,N51,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Raramente,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Frecuentemente,Nunca,Nunca
17/09/2023 22:15:25,N50,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Raramente,Nunca,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Algunas veces
17/09/2023 22:12:54,N37,Frecuentemente,Raramente,Raramente,Raramente,Raramente,Raramente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Raramente,Algunas veces,Frecuentemente,Nunca,Nunca,Nunca,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Nunca,Frecuentemente,Frecuentemente,Algunas veces,Nunca,Algunas veces,Frecuentemente,Nunca,Algunas veces,Algunas veces,Nunca,Raramente,Frecuentemente,Algunas veces,Raramente
17/09/2023 22:12:43,N49,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Algunas veces,Nunca,Nunca,Nunca,Nunca
17/09/2023 22:10:12,N48,Raramente,Raramente,Nunca,Frecuentemente,Nunca,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Frecuentemente,Frecuentemente,Nunca,Algunas veces,Frecuentemente,Nunca,Frecuentemente,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Nunca
17/09/2023 22:07:23,N36,Algunas veces,Raramente,Raramente,Frecuentemente,Raramente,Nunca,Frecuentemente,Raramente,Frecuentemente,Raramente,Algunas veces,Algunas veces,Nunca,Nunca,Raramente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Raramente,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca,Algunas veces,Raramente,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Nunca
17/09/2023 22:07:23,N47,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Nunca,Nunca,Algunas veces,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Algunas veces,Algunas veces,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Nunca
17/09/2023 22:03:23,N35,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Algunas veces,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca
17/09/2023 22:02:11,N46,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca
17/09/2023 22:00:32,N34,Frecuentemente,Raramente,Raramente,Algunas veces,Raramente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Raramente,Algunas veces,Raramente,Raramente,Nunca,Nunca,Frecuentemente,Nunca,Algunas veces,Raramente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,Frecuentemente,Raramente,Algunas veces,Nunca,Algunas veces,Frecuentemente,Algunas veces,Raramente,Frecuentemente,Frecuentemente,Raramente,Nunca,Frecuentemente,Nunca,Algunas veces,Algunas veces,Frecuentemente,Algunas veces
17/09/2023 21:59:01,N45,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Algunas veces,Algunas veces,Nunca,Algunas veces,Nunca,Nunca
17/09/2023 21:56:24,N44,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Raramente,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Algunas veces,Nunca,Nunca
17/09/2023 21:54:30,N33,Frecuentemente,Algunas veces,Raramente,Algunas veces,Raramente,Raramente,Frecuentemente,Raramente,Algunas veces,Raramente,Algunas veces,Raramente,Frecuentemente,Raramente,Nunca,Algunas veces,Raramente,Algunas veces,Raramente,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Nunca,Algunas veces,Nunca,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Frecuentemente,Nunca,Frecuentemente,Nunca,Frecuentemente,Nunca,Algunas veces,Nunca,Algunas veces,Frecuentemente
17/09/2023 21:53:35,N43,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Nunca,Raramente,Raramente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Nunca,Raramente,Frecuentemente,Frecuentemente,Nunca,Raramente,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Frecuentemente,Nunca,Frecuentemente,Nunca,Algunas veces,Nunca,Frecuentemente,Raramente,Frecuentemente,Nunca,Frecuentemente,Frecuentemente
17/09/2023 21:50:03,N42,Frecuentemente,Raramente,Nunca,Raramente,Raramente,Raramente,Nunca,Nunca,Raramente,Raramente,Frecuentemente,Raramente,Nunca,Raramente,Raramente,Nunca,Raramente,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Frecuentemente,Raramente,Nunca,Raramente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Raramente,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Frecuentemente,Frecuentemente,Raramente
17/09/2023 21:45:55,N41,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Raramente,Algunas veces,Raramente,Frecuentemente,Raramente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Nunca
17/09/2023 21:42:23,N40,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Nunca,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Raramente,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces
17/09/2023 21:38:34,N39,Algunas veces,Algunas veces,Raramente,Frecuentemente,Raramente,Raramente,Algunas veces,Nunca,Frecuentemente,Raramente,Frecuentemente,Frecuentemente,Algunas veces,Raramente,Raramente,Nunca,Frecuentemente,Algunas veces,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Nunca
17/09/2023 21:34:06,N38,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Algunas veces,Nunca,Nunca
16/09/2023 13:15:44,N19,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Raramente,Raramente,Raramente,Raramente,Algunas veces,Raramente,Raramente,Raramente,Raramente,Raramente,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Raramente,Nunca,Nunca
16/09/2023 13:15:08,N08,Raramente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Raramente,Raramente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Raramente,Nunca,Nunca,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Raramente,Raramente,Nunca,Nunca
16/09/2023 13:14:17,N18,Algunas veces,Frecuentemente,Raramente,Algunas veces,Algunas veces,Raramente,Algunas veces,Raramente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Raramente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Raramente,Algunas veces,Raramente,Raramente,Raramente,Raramente,Raramente,Raramente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Nunca,Raramente,Nunca,Frecuentemente,Nunca,Frecuentemente,Algunas veces,Nunca,Raramente
16/09/2023 13:12:39,N17,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Raramente,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Raramente,Frecuentemente,Raramente,Frecuentemente,Raramente,Algunas veces,Algunas veces,Frecuentemente,Nunca,Frecuentemente,Nunca,Frecuentemente,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Raramente,Nunca
16/09/2023 13:11:37,N07,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca
16/09/2023 13:09:37,N06,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Raramente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Frecuentemente,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Algunas veces,Nunca,Frecuentemente,Algunas veces
16/09/2023 13:08:31,N16,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Raramente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Raramente,Raramente,Raramente,Raramente,Nunca,Raramente,Raramente,Nunca,Nunca,Nunca,Raramente,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Algunas veces,Algunas veces,Nunca,Raramente
16/09/2023 13:07:02,N05,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca
16/09/2023 13:06:41,N15,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Raramente,Raramente,Nunca,Raramente,Algunas veces,Nunca,Nunca,Raramente,Nunca,Algunas veces,Nunca,Raramente,Algunas veces,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Raramente
16/09/2023 12:58:12,N14,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Raramente,Raramente,Raramente,Raramente,Algunas veces,Nunca,Nunca,Nunca,Raramente,Raramente,Nunca,Raramente,Algunas veces,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca
16/09/2023 12:56:23,N13,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Raramente,Algunas veces,Nunca,Frecuentemente,Raramente,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Frecuentemente,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Frecuentemente,Raramente,Raramente,Frecuentemente
16/09/2023 12:53:58,N12,Algunas veces,Algunas veces,Raramente,Algunas veces,Raramente,Algunas veces,Frecuentemente,Raramente,Algunas veces,Raramente,Frecuentemente,Frecuentemente,Nunca,Algunas veces,Algunas veces,Raramente,Frecuentemente,Raramente,Raramente,Raramente,Algunas veces,Nunca,Nunca,Nunca,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Nunca,Nunca,Algunas veces,Algunas veces,Raramente,Algunas veces,Frecuentemente,Nunca,Algunas veces
16/09/2023 9:47:54,N04,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca
16/09/2023 9:38:08,N03,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Raramente
16/09/2023 9:33:06,N02,Algunas veces,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Raramente,Frecuentemente,Raramente,Raramente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Raramente,Nunca,Raramente,Nunca
15/09/2023 18:26:55,N01,Algunas veces,Frecuentemente,Raramente,Raramente,Frecuentemente,Raramente,Algunas veces,Raramente,Algunas veces,Raramente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Nunca,Nunca,Algunas veces,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Algunas veces,Nunca,Nunca,Nunca
