ID,Tipo de actividad,Ciclo,NXLSX,DXLSX
BB205,Lectoescritura,240626_02,240626_02_BB205_SZ.XLSX,240626_02_BBXD_JIN.XLSX
BB207,Lectoescritura,240626_02,240626_02_BB207_KL.XLSX,240626_02_BBXD_JIN.XLSX
BB202,Exposición docente,240626_03,240626_03_BB202_KL.XLSX,240626_03_BBXD_JIN.XLSX
BB204,Exposición docente,240626_03,240626_03_BB204_JF.XLSX,240626_03_BBXD_JIN.XLSX
BB219,Exposición docente,240626_03,240626_03_BB219_SZ.XLSX,240626_03_BBXD_JIN.XLSX
BB203,Exposición docente,240626_04,240626_04_BB203_JF.XLSX,240626_04_BBXD_JIN.XLSX
BB206,Exposición docente,240626_04,240626_04_BB206_KL.XLSX,240626_04_BBXD_JIN.XLSX
BB208,Exposición docente,240626_04,240626_04_BB208_SZ.XLSX,240626_04_BBXD_JIN.XLSX
BB214,Exposición docente,240626_05,240626_05_BB214_JF.XLSX,240626_05_BBXD_JIN.XLSX
BB215,Exposición docente,240626_05,240626_05_BB215_KL.XLSX,240626_05_BBXD_JIN.XLSX
BB216,Exposición docente,240626_06,240626_06_BB216_JF.XLSX,240626_06_BBXD_JIN.XLSX
BB217,Exposición docente,240626_06,240626_06_BB217_KL.XLSX,240626_06_BBXD_JIN.XLSX
BB220,Exposición docente,240626_06,240626_06_BB220_SZ.XLSX,240626_06_BBXD_JIN.XLSX
BB221,Lectoescritura,240627_01,240627_01_BB221_GA.XLSX,240627_01_BBXD_JIN.XLSX
BB222,Lectoescritura,240627_01,240627_01_BB222_KL.XLSX,240627_01_BBXD_JIN.XLSX
BB201,Lectoescritura,240627_02,240627_02_BB201_JF.XLSX,240627_02_BBXD_JIN.XLSX
BB203,Lectoescritura,240627_02,240627_02_BB203_KL.XLSX,240627_02_BBXD_JIN.XLSX
BB212,Lectoescritura,240627_02,240627_02_BB212_GA.XLSX,240627_02_BBXD_JIN.XLSX
BB205,Exposición docente,240627_03,240627_03_BB205_KL.XLSX,240627_03_BBXD_JIN.XLSX
BB207,Exposición docente,240627_03,240627_03_BB207_JF.XLSX,240627_03_BBXD_JIN.XLSX
BB209,Dibujo/pintura,240627_04,240627_04_BB209_KL.XLSX,240627_04_BBXD_JIN.XLSX
BB211,Dibujo/pintura,240627_04,240627_04_BB211_GA.XLSX,240627_04_BBXD_JIN.XLSX
BB219,Dibujo/pintura,240627_04,240627_04_BB219_JF.XLSX,240627_04_BBXD_JIN.XLSX
BB202,Dibujo/pintura,240627_05,240627_05_BB202_KL.XLSX,240627_05_BBXD_JIN.XLSX
BB212,Dibujo/pintura,240627_05,240627_05_BB212_JF.XLSX,240627_05_BBXD_JIN.XLSX
BB215,Dibujo/pintura,240627_05,240627_05_BB215_GA.XLSX,240627_05_BBXD_JIN.XLSX
BB204,Dibujo/pintura,240627_06,240627_06_BB204_GA.XLSX,240627_06_BBXD_JIN.XLSX
BB206,Juego libre,240627_06,240627_06_BB206_KL.XLSX,240627_06_BBXD_JIN.XLSX
BB205,Juego libre,240627_07,240627_07_BB205_GA.XLSX,240627_07_BBXD_JIN.XLSX
BB208,Dibujo/pintura,240627_07,240627_07_BB208_JF.XLSX,240627_07_BBXD_JIN.XLSX
BB214,Juego libre,240627_07,240627_07_BB214_KL.XLSX,240627_07_BBXD_JIN.XLSX
