ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,SUR,NAF,EFC
C3E01,3,6,6,3,3,6,6,6,5,4,6,6,4,6,3,6,6,4,4,6,6,2,6,6,6,6,4,4,4,6,6,6,6,,6,6,4.36363636363636,5.58333333333333,5.33333333333333
C3E03,4,4,6,6,2,4,6,4,6,6,3,6,4,2,6,6,4,4,4,4,7,3,2,7,6,3,3,2,4,2,7,5,6,,4,7,4.90909090909091,3.41666666666667,5.33333333333333
C3E05,3,6,6,5,4,2,7,6,5,6,4,6,7,3,3,6,4,3,7,1,5,7,5,6,7,6,1,6,4,6,6,2,6,,6,6,6.09090909090909,4.25,4.58333333333333
C3E04,6,5,6,3,2,3,5,3,3,6,2,6,5,3,5,2,5,3,5,2,5,6,2,6,6,3,3,3,3,5,6,5,5,,2,3,4.81818181818182,3.08333333333333,4.41666666666667
C3E06,6,6,6,7,5,6,4,5,3,4,3,5,7,6,5,4,3,5,4,2,6,3,6,6,6,4,1,2,5,6,7,6,6,,6,5,4.90909090909091,4.75,5
C3E08,6,7,7,2,6,5,6,6,3,7,7,7,5,7,7,7,6,3,2,1,6,6,7,7,6,6,2,6,1,7,5,6,7,,6,7,5.27272727272727,5.5,5.66666666666667
C3E07,6,3,6,7,6,2,5,2,2,6,4,6,6,6,5,6,5,6,6,2,4,6,6,6,6,6,3,6,3,6,4,5,4,,2,6,5.81818181818182,4.16666666666667,4.66666666666667
C3E09,2,3,3,6,2,5,5,5,7,5,6,5,4,5,6,7,2,3,6,2,7,3,2,5,2,6,2,6,2,6,2,2,6,,2,2,4.36363636363636,3.25,4.75
C3E10,1,6,6,6,5,2,3,4,5,6,5,3,7,6,3,6,6,5,3,3,6,3,3,5,5,6,3,6,2,6,3,6,7,,6,5,4.45454545454545,4.83333333333333,4.66666666666667
C3F01,2,5,6,5,5,5,6,6,5,6,1,6,4,2,6,6,3,6,6,5,5,6,5,6,3,5,2,2,6,6,6,5,3,,6,6,4.72727272727273,4.5,5.16666666666667
C3F02,4,6,6,6,4,5,5,5,4,5,5,7,5,4,5,5,6,6,3,5,5,3,3,4,5,6,4,5,4,5,4,4,6,,4,6,4.54545454545455,4.66666666666667,5.25
C3F03,5,3,4,7,3,5,5,3,3,6,1,2,6,2,2,5,3,6,6,2,2,7,5,5,6,3,4,6,2,3,6,1,5,,4,5,5.90909090909091,2.66666666666667,3.83333333333333
C3F05,6,5,7,5,2,5,5,6,6,6,6,7,3,3,6,5,5,6,6,4,7,6,3,7,7,6,2,4,2,6,5,5,6,,5,6,5.27272727272727,4.33333333333333,5.91666666666667
C3F04,6,6,7,4,3,5,5,6,4,3,4,6,6,7,6,6,6,2,3,4,4,3,5,7,6,6,4,5,5,2,4,4,6,,2,6,4.63636363636364,4.83333333333333,4.91666666666667
C3F07,6,5,6,6,6,7,6,6,5,6,5,7,3,5,5,5,4,6,5,3,6,3,5,6,5,4,5,5,2,6,2,5,4,,4,6,4.72727272727273,4.5,5.75
C3F06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3F08,3,2,5,2,2,5,4,2,,3,5,5,4,2,3,5,4,6,2,3,6,4,4,5,5,3,4,5,4,5,2,6,6,,6,5,3.54545454545455,3.58333333333333,5
C3F09,2,5,7,4,2,,6,6,,6,2,6,4,6,7,4,6,6,7,,6,7,1,7,7,6,1,1,3,5,2,4,1,,4,5,4.54545454545455,4.09090909090909,5.1
C3F10,6,7,7,6,5,6,5,6,6,5,5,4,4,6,6,7,6,6,4,4,6,4,6,6,6,2,4,6,5,2,6,6,2,,5,3,5.36363636363636,5.25,4.83333333333333
C3F12,4,6,7,2,7,7,5,6,7,4,7,7,4,7,5,6,5,3,4,5,5,2,7,7,7,7,4,5,7,5,3,6,6,,7,7,4.18181818181818,6.41666666666667,5.83333333333333
C3F11,6,7,7,2,5,7,4,6,7,3,1,1,1,4,7,1,7,5,2,3,7,4,6,7,7,7,4,4,7,1,4,5,7,,5,6,3.45454545454545,5.25,5.5
C3F14,4,6,6,6,2,2,6,7,1,6,6,4,6,6,7,2,6,5,7,1,6,7,2,6,6,6,1,5,6,6,6,1,1,,6,1,5.54545454545455,4.58333333333333,3.83333333333333
C3F17,4,6,6,1,4,4,4,5,5,4,5,5,6,6,6,3,5,4,4,4,4,4,5,5,4,6,3,2,4,2,3,5,4,,4,5,3.54545454545455,4.91666666666667,4.41666666666667
