"ID","tb_score","tb_errors","tb_meanrt_correct","tb_meanrt_incorrect","ne_score","ne_errors","ne_meanrt_correct","ne_meanrt_incorrect","mt_score","mt_errors","mt_meanrt_correct","mt_meanrt_incorrect","bcd_score","bcd_lgst_streak","bcd_meanrt_correct","bcd_meanrt_incorrect","bci_score","bci_lgst_streak","bci_meanrt_correct","bci_meanrt_incorrect","sm_score","sm_lgst_streak","sm_meanrt_correct","sm_meanrt_incorrect","cs_score","cs_meanrt_correct","cs_meanrt_incorrect","jm_tot_test_trials","jm_score","jm_errors","jm_complete","jm_meanrt_correct","jm_meanrt_incorrect","jm_tot_ax_trial","jm_ax_score","jm_ax_errors","jm_tot_else_trial","jm_else_score","jm_else_errors","jm_ax_meanrt_correct","jm_ax_meanrt_incorrect","jm_else_meanrt_correct","jm_else_meanrt_incorrect","jm_drt_ax"
"BB207",22,2,1325.9375,610,8,10,1866.125,4255.9,7,17,3937.71428571429,2294.41176470588,2,2,8188.5,2264.66666666667,1,1,3905,2004.33333333333,2,2,5505.5,12732.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB208",23,1,1083.4375,NA,16,2,2393.375,3867,17,7,3973.64705882353,3333.28571428571,3,1,6211.66666666667,3261.66666666667,1,1,12901,7036,3,2,2674.66666666667,1657.66666666667,13,3458,3628.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB209",21,3,689.9375,540,10,8,2504.1,4508.25,19,5,1686.52631578947,1878.8,1,1,3255,1947.66666666667,1,1,3584,2804.66666666667,7,6,2931,2510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB210",18,6,1183.5,845.666666666667,16,2,4284.1875,5160.5,14,10,4187,3771,1,1,6252,1542.33333333333,3,2,4310.66666666667,1695,3,2,1376.33333333333,1245.33333333333,12,3791.08333333333,6433.33333333333,60,49,11,TRUE,766.612244897959,799.285714285714,42,39,3,18,10,8,686.282051282051,NA,1079.9,799.285714285714,-393.617948717949
"BB211",24,0,883.588235294118,NA,16,2,10417.875,5516,18,6,3311,3975.66666666667,1,1,12682,4837,3,3,6135.33333333333,4433,3,2,3018.66666666667,6413.5,13,8109.92307692308,14861.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB212",22,2,880.4375,51,13,5,6770.92307692308,7142.33333333333,9,15,6424.22222222222,9516.46666666667,3,2,11554.3333333333,8897,0,0,NA,5978.66666666667,3,3,7698,4715,10,5688.5,9795.4,34,24,10,FALSE,840.125,1227.75,24,21,3,10,3,7,777.809523809524,NA,1276.33333333333,1227.75,-498.523809523809
"BB213",22,2,1014.625,1591,0,18,NA,3136.72222222222,13,11,2920.92307692308,3246.72727272727,1,1,10007,2522.33333333333,1,1,6894,4749.33333333333,2,2,2335.5,790.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB214",24,0,913.588235294118,NA,16,2,2898.1875,2599,11,13,2859.45454545455,3421.69230769231,1,1,5685,2695.33333333333,0,0,NA,1955.66666666667,3,2,2528.33333333333,2998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB215",21,3,964.5625,718,14,4,9035.57142857143,7884.33333333333,17,7,7062.88235294118,8367.42857142857,3,2,5583,4873.66666666667,0,0,NA,3191,6,3,4527.66666666667,4254.66666666667,10,6383.2,6565.6,30,19,11,FALSE,741.052631578947,615.5,21,16,5,9,3,6,733.25,510,782.666666666667,678.8,-49.4166666666666
"BB216",15,9,917.2,1070.14285714286,15,3,4031.13333333333,3750.66666666667,17,7,3869.76470588235,4699,2,1,12430,829,2,1,3574,1094.66666666667,5,4,4353.2,3458.75,13,6746.76923076923,8867.5,60,49,11,TRUE,707.897959183673,731.222222222222,42,41,1,18,8,10,674.731707317073,NA,877.875,731.222222222222,-203.143292682927
