ID,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,CHAOSC
BB01,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1.4
BA103,1,1,1,2,1,2,3,1,2,2,1,2,2,2,1,1.6
AB107,1,1,3,2,2,2,3,1,1,2,2,2,1,2,1,1.7333333333333334
BB02,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1.3333333333333333
AB205,2,2,2,2,2,2,3,1,1,1,1,3,1,2,3,1.8666666666666667
AB206,1,2,3,1,3,2,2,1,1,2,4,3,3,2,1,2.066666666666667
AB203,1,2,2,1,2,1,1,1,1,2,1,2,2,1,1,1.4
BA202,3,2,2,2,2,1,2,1,3,1,1,1,2,1,2,1.7333333333333334
BA102,1,2,2,3,3,2,2,2,2,2,1,2,2,2,1,1.9333333333333333
AB105,1,2,1,1,4,2,3,2,2,2,2,3,2,3,1,2.066666666666667
