"ID","Informante","Años_previos_de_escolaridad","Usa_dispositivos_electrónicos_cotidianamente","Libros_en_el_hogar","Frecuencia_de_lectura_compartida","Materiales_didácticos_en_el_hogar","Acceso_a_vestimenta","Hace_deporte","Vida_social","Calidad_de_sueño","Edad_de_la_madre","Edad_del_padre","Educación_de_la_madre","Educación_del_padre","Composición_del_hogar","Hogar_biparental","Cohabitantes","Son_inmigrantes","Mudanzas_desde_el_nacimiento","Madre_trabaja_en_blanco","Padre_trabaja_en_blanco","Madre_estabilidad_laboral","Padre_estabilidad_laboral","Barrio_tranquilo","Percepción_de_ingresos","Percepción_de_recursos","Percepción_de_calma"
"BB212","Madre",1,0,2,3,3,3,0,7,1,39,42,0,11,"Biparental",1,4,0,1,1,1,1,1,3,2,3,3
"BB214","Padre",0,1,1,1,1,3,1,NA,1,45,40,0,3,"Biparental",1,5,0,0,0,1,1,1,3,2,2,4
"BB215","Madre",2,1,2,3,3,3,0,5,1,26,NA,5,NA,"Otra configuración",0,3,0,0,1,NA,1,NA,4,3,4,2
"BB216","Madre",2,1,2,2,3,3,1,6,1,46,42,8,8,"Biparental",1,3,0,1,1,1,1,1,2,2,4,0
"BB217","Madre",3,1,2,1,2,3,1,5,1,30,31,6,3,"Monoparental",0,2,0,3,0,1,1,1,3,1,2,0
"BB219","Madre",3,0,2,3,2,3,1,5,0,35,32,8,3,"Tenencia compartida",0,7,0,2,1,NA,1,1,1,2,3,1
"BB222","Madre",NA,0,0,0,2,3,0,3,0,26,30,3,8,"Biparental",1,4,1,2,0,1,1,1,3,3,4,2
"BC101","Madre",2,0,3,3,3,3,0,6,1,39,44,11,5,"Biparental",1,3,0,0,NA,1,0,1,3,1,3,0
"BC103","Madre",4,1,2,2,3,3,1,5,0,32,41,10,6,"Biparental",1,4,0,0,1,1,1,1,2,4,4,0
"BC104","Madre",2,1,3,3,3,3,1,5,2,35,34,9,6,"Tenencia compartida",0,3,0,5,0,0,1,1,2,3,4,1
"BC107","Madre",3,0,2,2,3,3,0,7,1,35,42,11,8,"Biparental",1,3,0,0,NA,NA,1,1,3,3,4,2
"BC108","Madre",3,1,1,0,1,3,0,4,0,35,36,9,9,"Biparental",1,5,0,2,NA,1,NA,NA,3,1,3,1
"BC109","Madre",3,0,1,1,2,3,0,3,0,35,32,6,2,"Otra configuración",0,5,0,1,0,NA,0,NA,2,1,2,1
"BC110","Madre",3,0,1,1,2,3,0,4,0,35,NA,6,NA,"Otra configuración",0,5,0,1,0,NA,0,NA,2,1,2,2
"BC111","Madre",5,1,2,1,3,3,0,4,1,39,38,5,3,"Monoparental",0,2,0,1,1,NA,1,NA,2,2,3,2
"BC112","Padre",2,1,3,3,3,3,1,7,0,49,45,11,11,"Biparental",1,2,0,0,1,1,1,1,3,3,4,1
"BC113","Madre",2,0,2,1,3,2,0,2,2,33,35,9,2,"Otra configuración",0,3,0,5,NA,1,NA,1,4,1,2,1
"BC114","Madre",1,1,2,3,3,3,1,7,0,36,37,5,2,"Monoparental",0,4,0,4,0,0,1,NA,3,2,3,1
"C3A01","Madre",3,0,2,2,2,3,1,4,1,25,NA,7,NA,NA,NA,5,0,NA,NA,NA,NA,NA,3,2,3,1
"C3A02","Madre",7,1,NA,2,3,3,1,5,0,39,NA,8,NA,NA,NA,2,0,NA,NA,NA,NA,NA,2,1,2,2
"C3A03","Madre",3,1,2,1,2,3,1,3,1,40,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,1,1,2,0
"C3A04","Madre",4,1,2,3,3,3,1,6,1,40,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,3,2,4,2
"C3A05","Otro",3,1,2,3,3,3,1,6,0,43,NA,3,NA,NA,NA,2,0,NA,NA,NA,NA,NA,3,3,4,2
"C3A06","Padre",NA,1,1,3,3,3,1,5,1,35,NA,5,NA,NA,NA,4,0,NA,NA,NA,NA,NA,1,3,4,2
"C3A07","Madre",2,1,2,2,3,3,1,7,0,49,NA,11,NA,NA,NA,5,0,NA,NA,NA,NA,NA,2,3,4,2
"C3A08","Padre",2,1,2,1,3,3,0,7,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,4,3,4,2
"C3A10","Madre",5,1,NA,1,3,2,1,5,1,36,39,8,8,"Biparental",1,3,0,0,1,1,1,1,3,2,4,2
"C3B01","Madre",5,0,2,2,3,3,0,4,2,38,NA,11,NA,NA,NA,3,0,NA,NA,NA,NA,NA,3,2,3,1
"C3B02","Padre",2,1,1,0,2,NA,0,NA,NA,46,NA,11,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
